/home/david/Descargas/OpenS Demo/OpenS/backend-ia/main.py:24: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai  # type: ignore
INFO:     Started server process [74128]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)
Initialized Google Gemini with model: gemini-2.5-flash
INFO:     127.0.0.1:33476 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:33488 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:59948 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37810 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:43666 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:37936 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:46934 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:46940 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:58408 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48312 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49380 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49384 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:49400 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:49404 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:60540 - "GET /api/v1/patients/2/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:48908 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48922 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48930 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48944 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48960 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48966 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48968 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48978 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41586 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41592 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41608 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41612 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41624 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41632 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41638 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41644 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41648 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41658 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
